***All slide window sequence number prediction probability***
Number	annotation	Promoter	Promoter probability
1	CRE18453 upstream (2000bp),site:0-300	No	0.0399342
2	CRE18453 upstream (2000bp),site:1-301	No	0.0157974
3	CRE18453 upstream (2000bp),site:2-302	No	0.293443
4	CRE18453 upstream (2000bp),site:3-303	No	0.092203
5	CRE18453 upstream (2000bp),site:4-304	No	0.0188862
6	CRE18453 upstream (2000bp),site:5-305	No	0.0815372
7	CRE18453 upstream (2000bp),site:6-306	No	0.105402
8	CRE18453 upstream (2000bp),site:7-307	No	0.116505
9	CRE18453 upstream (2000bp),site:8-308	No	0.365926
10	CRE18453 upstream (2000bp),site:9-309	No	0.0285159
11	CRE18453 upstream (2000bp),site:10-310	No	0.0112914
12	CRE18453 upstream (2000bp),site:11-311	No	0.0421479
13	CRE18453 upstream (2000bp),site:12-312	No	0.418519
14	CRE18453 upstream (2000bp),site:13-313	No	0.120654
15	CRE18453 upstream (2000bp),site:14-314	No	0.139239
16	CRE18453 upstream (2000bp),site:15-315	No	0.479437
17	CRE18453 upstream (2000bp),site:16-316	No	0.167096
18	CRE18453 upstream (2000bp),site:17-317	No	0.309586
19	CRE18453 upstream (2000bp),site:18-318	No	0.27062
20	CRE18453 upstream (2000bp),site:19-319	No	0.0217498
21	CRE18453 upstream (2000bp),site:20-320	No	0.0158525
22	CRE18453 upstream (2000bp),site:21-321	No	0.0905378
23	CRE18453 upstream (2000bp),site:22-322	No	5.21346e-006
24	CRE18453 upstream (2000bp),site:23-323	No	0.0231838
25	CRE18453 upstream (2000bp),site:24-324	No	0.0176634
26	CRE18453 upstream (2000bp),site:25-325	No	0.0363631
27	CRE18453 upstream (2000bp),site:26-326	No	0.0127031
28	CRE18453 upstream (2000bp),site:27-327	No	0.110114
29	CRE18453 upstream (2000bp),site:28-328	No	0.0144655
30	CRE18453 upstream (2000bp),site:29-329	No	0.0580089
31	CRE18453 upstream (2000bp),site:30-330	No	0.100863
32	CRE18453 upstream (2000bp),site:31-331	No	0.00581804
33	CRE18453 upstream (2000bp),site:32-332	No	0.102455
34	CRE18453 upstream (2000bp),site:33-333	No	0.278999
35	CRE18453 upstream (2000bp),site:34-334	No	0.141935
36	CRE18453 upstream (2000bp),site:35-335	No	0.180016
37	CRE18453 upstream (2000bp),site:36-336	No	0.456048
38	CRE18453 upstream (2000bp),site:37-337	Yes	0.78575
39	CRE18453 upstream (2000bp),site:38-338	Yes	0.776869
40	CRE18453 upstream (2000bp),site:39-339	Yes	0.850169
41	CRE18453 upstream (2000bp),site:40-340	No	0.309718
42	CRE18453 upstream (2000bp),site:41-341	No	0.302741
43	CRE18453 upstream (2000bp),site:42-342	Yes	0.945754
44	CRE18453 upstream (2000bp),site:43-343	Yes	0.996332
45	CRE18453 upstream (2000bp),site:44-344	Yes	0.954369
46	CRE18453 upstream (2000bp),site:45-345	No	0.0323823
47	CRE18453 upstream (2000bp),site:46-346	No	0.254475
48	CRE18453 upstream (2000bp),site:47-347	No	0.422176
49	CRE18453 upstream (2000bp),site:48-348	No	0.313711
50	CRE18453 upstream (2000bp),site:49-349	No	0.105462
51	CRE18453 upstream (2000bp),site:50-350	No	0.115957
52	CRE18453 upstream (2000bp),site:51-351	No	0.0980423
53	CRE18453 upstream (2000bp),site:52-352	No	0.0300807
54	CRE18453 upstream (2000bp),site:53-353	No	0.00960438
55	CRE18453 upstream (2000bp),site:54-354	No	0.00540505
56	CRE18453 upstream (2000bp),site:55-355	No	0.0154895
57	CRE18453 upstream (2000bp),site:56-356	No	0.0209894
58	CRE18453 upstream (2000bp),site:57-357	No	0.173
59	CRE18453 upstream (2000bp),site:58-358	No	0.0613309
60	CRE18453 upstream (2000bp),site:59-359	No	0.0442342
61	CRE18453 upstream (2000bp),site:60-360	No	0.0522696
62	CRE18453 upstream (2000bp),site:61-361	No	0.224037
63	CRE18453 upstream (2000bp),site:62-362	No	0.0500507
64	CRE18453 upstream (2000bp),site:63-363	No	0.0659088
65	CRE18453 upstream (2000bp),site:64-364	No	0.105937
66	CRE18453 upstream (2000bp),site:65-365	No	0.0145962
67	CRE18453 upstream (2000bp),site:66-366	No	0.177212
68	CRE18453 upstream (2000bp),site:67-367	No	0.144069
69	CRE18453 upstream (2000bp),site:68-368	No	0.134213
70	CRE18453 upstream (2000bp),site:69-369	No	0.154403
71	CRE18453 upstream (2000bp),site:70-370	No	0.431836
72	CRE18453 upstream (2000bp),site:71-371	Yes	0.520557
73	CRE18453 upstream (2000bp),site:72-372	Yes	0.941197
74	CRE18453 upstream (2000bp),site:73-373	Yes	0.555376
75	CRE18453 upstream (2000bp),site:74-374	No	0.0987346
76	CRE18453 upstream (2000bp),site:75-375	No	0.0551875
77	CRE18453 upstream (2000bp),site:76-376	No	0.386774
78	CRE18453 upstream (2000bp),site:77-377	Yes	0.836243
79	CRE18453 upstream (2000bp),site:78-378	Yes	0.938225
80	CRE18453 upstream (2000bp),site:79-379	Yes	0.618547
81	CRE18453 upstream (2000bp),site:80-380	No	0.157581
82	CRE18453 upstream (2000bp),site:81-381	Yes	0.620191
83	CRE18453 upstream (2000bp),site:82-382	No	0.299667
84	CRE18453 upstream (2000bp),site:83-383	Yes	0.853442
85	CRE18453 upstream (2000bp),site:84-384	No	0.211039
86	CRE18453 upstream (2000bp),site:85-385	Yes	0.711984
87	CRE18453 upstream (2000bp),site:86-386	Yes	0.95478
88	CRE18453 upstream (2000bp),site:87-387	Yes	0.968265
89	CRE18453 upstream (2000bp),site:88-388	No	0.0705253
90	CRE18453 upstream (2000bp),site:89-389	No	0.111071
91	CRE18453 upstream (2000bp),site:90-390	Yes	0.531157
92	CRE18453 upstream (2000bp),site:91-391	No	0.0929774
93	CRE18453 upstream (2000bp),site:92-392	No	0.102167
94	CRE18453 upstream (2000bp),site:93-393	No	0.0553537
95	CRE18453 upstream (2000bp),site:94-394	No	0.454504
96	CRE18453 upstream (2000bp),site:95-395	No	0.0395178
97	CRE18453 upstream (2000bp),site:96-396	No	0.0884324
98	CRE18453 upstream (2000bp),site:97-397	No	0.0130193
99	CRE18453 upstream (2000bp),site:98-398	No	0.0115736
100	CRE18453 upstream (2000bp),site:99-399	No	0.0406258
101	CRE18453 upstream (2000bp),site:100-400	No	0.0371354
102	CRE18453 upstream (2000bp),site:101-401	No	0.139265
103	CRE18453 upstream (2000bp),site:102-402	No	0.010512
104	CRE18453 upstream (2000bp),site:103-403	No	0.0955826
105	CRE18453 upstream (2000bp),site:104-404	No	0.0397648
106	CRE18453 upstream (2000bp),site:105-405	No	0.0989307
107	CRE18453 upstream (2000bp),site:106-406	No	0.454393
108	CRE18453 upstream (2000bp),site:107-407	Yes	0.94529
109	CRE18453 upstream (2000bp),site:108-408	Yes	0.722087
110	CRE18453 upstream (2000bp),site:109-409	Yes	0.866507
111	CRE18453 upstream (2000bp),site:110-410	Yes	0.509255
112	CRE18453 upstream (2000bp),site:111-411	No	0.150467
113	CRE18453 upstream (2000bp),site:112-412	No	0.0272515
114	CRE18453 upstream (2000bp),site:113-413	No	0.197521
115	CRE18453 upstream (2000bp),site:114-414	No	0.0658249
116	CRE18453 upstream (2000bp),site:115-415	Yes	0.511962
117	CRE18453 upstream (2000bp),site:116-416	Yes	0.65655
118	CRE18453 upstream (2000bp),site:117-417	Yes	0.995556
119	CRE18453 upstream (2000bp),site:118-418	Yes	0.905867
120	CRE18453 upstream (2000bp),site:119-419	No	0.211443
121	CRE18453 upstream (2000bp),site:120-420	No	0.169351
122	CRE18453 upstream (2000bp),site:121-421	No	0.163272
123	CRE18453 upstream (2000bp),site:122-422	No	0.100153
124	CRE18453 upstream (2000bp),site:123-423	No	1.85321e-005
125	CRE18453 upstream (2000bp),site:124-424	No	0.178079
126	CRE18453 upstream (2000bp),site:125-425	No	0.259295
127	CRE18453 upstream (2000bp),site:126-426	Yes	0.689759
128	CRE18453 upstream (2000bp),site:127-427	No	0.126908
129	CRE18453 upstream (2000bp),site:128-428	No	0.316758
130	CRE18453 upstream (2000bp),site:129-429	Yes	0.720912
131	CRE18453 upstream (2000bp),site:130-430	No	0.3328
132	CRE18453 upstream (2000bp),site:131-431	No	0.393334
133	CRE18453 upstream (2000bp),site:132-432	Yes	0.719319
134	CRE18453 upstream (2000bp),site:133-433	Yes	0.63615
135	CRE18453 upstream (2000bp),site:134-434	No	0.379504
136	CRE18453 upstream (2000bp),site:135-435	No	0.0388723
137	CRE18453 upstream (2000bp),site:136-436	No	0.193579
138	CRE18453 upstream (2000bp),site:137-437	No	0.230435
139	CRE18453 upstream (2000bp),site:138-438	No	0.335238
140	CRE18453 upstream (2000bp),site:139-439	Yes	0.587545
141	CRE18453 upstream (2000bp),site:140-440	No	0.440008
142	CRE18453 upstream (2000bp),site:141-441	No	0.391693
143	CRE18453 upstream (2000bp),site:142-442	Yes	0.916102
144	CRE18453 upstream (2000bp),site:143-443	Yes	0.928219
145	CRE18453 upstream (2000bp),site:144-444	Yes	0.514845
146	CRE18453 upstream (2000bp),site:145-445	No	0.0638778
147	CRE18453 upstream (2000bp),site:146-446	No	0.0404379
148	CRE18453 upstream (2000bp),site:147-447	No	0.0332688
149	CRE18453 upstream (2000bp),site:148-448	No	0.360742
150	CRE18453 upstream (2000bp),site:149-449	Yes	0.582966
151	CRE18453 upstream (2000bp),site:150-450	Yes	0.690836
152	CRE18453 upstream (2000bp),site:151-451	Yes	0.580502
153	CRE18453 upstream (2000bp),site:152-452	No	0.147011
154	CRE18453 upstream (2000bp),site:153-453	No	0.00643409
155	CRE18453 upstream (2000bp),site:154-454	No	0.00402852
156	CRE18453 upstream (2000bp),site:155-455	No	0.0613032
157	CRE18453 upstream (2000bp),site:156-456	No	0.0447764
158	CRE18453 upstream (2000bp),site:157-457	No	0.473803
159	CRE18453 upstream (2000bp),site:158-458	No	0.381582
160	CRE18453 upstream (2000bp),site:159-459	Yes	0.96293
161	CRE18453 upstream (2000bp),site:160-460	Yes	0.999242
162	CRE18453 upstream (2000bp),site:161-461	Yes	0.997855
163	CRE18453 upstream (2000bp),site:162-462	Yes	0.935013
164	CRE18453 upstream (2000bp),site:163-463	Yes	0.641727
165	CRE18453 upstream (2000bp),site:164-464	No	0.00322224
166	CRE18453 upstream (2000bp),site:165-465	No	0.0201518
167	CRE18453 upstream (2000bp),site:166-466	No	0.0176865
168	CRE18453 upstream (2000bp),site:167-467	No	0.154973
169	CRE18453 upstream (2000bp),site:168-468	No	0.178221
170	CRE18453 upstream (2000bp),site:169-469	No	0.295801
171	CRE18453 upstream (2000bp),site:170-470	No	0.299341
172	CRE18453 upstream (2000bp),site:171-471	No	0.0449378
173	CRE18453 upstream (2000bp),site:172-472	Yes	0.527203
174	CRE18453 upstream (2000bp),site:173-473	No	0.47349
175	CRE18453 upstream (2000bp),site:174-474	No	0.00512934
176	CRE18453 upstream (2000bp),site:175-475	No	0.0144813
177	CRE18453 upstream (2000bp),site:176-476	No	0.230186
178	CRE18453 upstream (2000bp),site:177-477	No	0.0145312
179	CRE18453 upstream (2000bp),site:178-478	No	0.105869
180	CRE18453 upstream (2000bp),site:179-479	No	0.170538
181	CRE18453 upstream (2000bp),site:180-480	No	0.0483783
182	CRE18453 upstream (2000bp),site:181-481	No	0.494745
183	CRE18453 upstream (2000bp),site:182-482	Yes	0.776839
184	CRE18453 upstream (2000bp),site:183-483	No	0.47304
185	CRE18453 upstream (2000bp),site:184-484	No	0.15542
186	CRE18453 upstream (2000bp),site:185-485	No	0.0221333
187	CRE18453 upstream (2000bp),site:186-486	No	0.00252758
188	CRE18453 upstream (2000bp),site:187-487	No	0.0313571
189	CRE18453 upstream (2000bp),site:188-488	No	0.280134
190	CRE18453 upstream (2000bp),site:189-489	Yes	0.5
191	CRE18453 upstream (2000bp),site:190-490	No	0.347119
192	CRE18453 upstream (2000bp),site:191-491	No	0.270399
193	CRE18453 upstream (2000bp),site:192-492	No	0.264131
194	CRE18453 upstream (2000bp),site:193-493	No	0.0931195
195	CRE18453 upstream (2000bp),site:194-494	No	0.0124562
196	CRE18453 upstream (2000bp),site:195-495	No	0.00312729
197	CRE18453 upstream (2000bp),site:196-496	No	0.0165948
198	CRE18453 upstream (2000bp),site:197-497	No	0.0466234
199	CRE18453 upstream (2000bp),site:198-498	No	0.0357296
200	CRE18453 upstream (2000bp),site:199-499	Yes	0.830979
201	CRE18453 upstream (2000bp),site:200-500	Yes	0.957676
202	CRE18453 upstream (2000bp),site:201-501	No	0.466821
203	CRE18453 upstream (2000bp),site:202-502	No	0.106008
204	CRE18453 upstream (2000bp),site:203-503	No	0.0828473
205	CRE18453 upstream (2000bp),site:204-504	No	0.098588
206	CRE18453 upstream (2000bp),site:205-505	No	0.0435725
207	CRE18453 upstream (2000bp),site:206-506	No	0.251033
208	CRE18453 upstream (2000bp),site:207-507	No	0.00477101
209	CRE18453 upstream (2000bp),site:208-508	No	0.0588554
210	CRE18453 upstream (2000bp),site:209-509	No	0.0477596
211	CRE18453 upstream (2000bp),site:210-510	No	1.31108e-005
212	CRE18453 upstream (2000bp),site:211-511	No	0.0123213
213	CRE18453 upstream (2000bp),site:212-512	No	0.0820815
214	CRE18453 upstream (2000bp),site:213-513	Yes	0.569585
215	CRE18453 upstream (2000bp),site:214-514	No	0.219184
216	CRE18453 upstream (2000bp),site:215-515	No	0.119504
217	CRE18453 upstream (2000bp),site:216-516	No	0.0621565
218	CRE18453 upstream (2000bp),site:217-517	No	0.21374
219	CRE18453 upstream (2000bp),site:218-518	No	0.2799
220	CRE18453 upstream (2000bp),site:219-519	No	0.199362
221	CRE18453 upstream (2000bp),site:220-520	No	0.0523464
222	CRE18453 upstream (2000bp),site:221-521	No	0.0256049
223	CRE18453 upstream (2000bp),site:222-522	No	0.0856526
224	CRE18453 upstream (2000bp),site:223-523	No	0.0838831
225	CRE18453 upstream (2000bp),site:224-524	No	0.0126945
226	CRE18453 upstream (2000bp),site:225-525	No	0.0320734
227	CRE18453 upstream (2000bp),site:226-526	No	0.176076
228	CRE18453 upstream (2000bp),site:227-527	No	0.0596361
229	CRE18453 upstream (2000bp),site:228-528	No	0.0245079
230	CRE18453 upstream (2000bp),site:229-529	No	0.0289118
231	CRE18453 upstream (2000bp),site:230-530	No	0.0218321
232	CRE18453 upstream (2000bp),site:231-531	No	0.0366731
233	CRE18453 upstream (2000bp),site:232-532	No	0.216343
234	CRE18453 upstream (2000bp),site:233-533	No	0.0536346
235	CRE18453 upstream (2000bp),site:234-534	No	0.0261426
236	CRE18453 upstream (2000bp),site:235-535	Yes	0.768437
237	CRE18453 upstream (2000bp),site:236-536	No	0.151939
238	CRE18453 upstream (2000bp),site:237-537	No	0.0647149
239	CRE18453 upstream (2000bp),site:238-538	No	0.0866021
240	CRE18453 upstream (2000bp),site:239-539	No	0.0382849
241	CRE18453 upstream (2000bp),site:240-540	No	0.0298781
242	CRE18453 upstream (2000bp),site:241-541	No	0.234562
243	CRE18453 upstream (2000bp),site:242-542	No	0.413583
244	CRE18453 upstream (2000bp),site:243-543	No	0.0116054
245	CRE18453 upstream (2000bp),site:244-544	No	0.0321659
246	CRE18453 upstream (2000bp),site:245-545	No	0.00872454
247	CRE18453 upstream (2000bp),site:246-546	No	0.0106948
248	CRE18453 upstream (2000bp),site:247-547	No	0.0126612
249	CRE18453 upstream (2000bp),site:248-548	No	0.00390254
250	CRE18453 upstream (2000bp),site:249-549	No	0.0288328
251	CRE18453 upstream (2000bp),site:250-550	Yes	0.552482
252	CRE18453 upstream (2000bp),site:251-551	No	0.00797559
253	CRE18453 upstream (2000bp),site:252-552	No	0.014048
254	CRE18453 upstream (2000bp),site:253-553	No	0.00760629
255	CRE18453 upstream (2000bp),site:254-554	No	0.0175767
256	CRE18453 upstream (2000bp),site:255-555	No	0.0230651
257	CRE18453 upstream (2000bp),site:256-556	No	0.0834056
258	CRE18453 upstream (2000bp),site:257-557	No	0.0560474
259	CRE18453 upstream (2000bp),site:258-558	No	0.0239629
260	CRE18453 upstream (2000bp),site:259-559	No	0.0857885
261	CRE18453 upstream (2000bp),site:260-560	No	0.075494
262	CRE18453 upstream (2000bp),site:261-561	No	0.155546
263	CRE18453 upstream (2000bp),site:262-562	No	0.0145519
264	CRE18453 upstream (2000bp),site:263-563	No	0.0167451
265	CRE18453 upstream (2000bp),site:264-564	No	0.0479442
266	CRE18453 upstream (2000bp),site:265-565	No	0.0904342
267	CRE18453 upstream (2000bp),site:266-566	No	0.00443069
268	CRE18453 upstream (2000bp),site:267-567	No	0.0426076
269	CRE18453 upstream (2000bp),site:268-568	No	0.0136642
270	CRE18453 upstream (2000bp),site:269-569	No	0.05699
271	CRE18453 upstream (2000bp),site:270-570	No	0.100853
272	CRE18453 upstream (2000bp),site:271-571	No	0.258813
273	CRE18453 upstream (2000bp),site:272-572	No	0.044096
274	CRE18453 upstream (2000bp),site:273-573	No	0.199751
275	CRE18453 upstream (2000bp),site:274-574	No	0.197865
276	CRE18453 upstream (2000bp),site:275-575	No	0.0703284
277	CRE18453 upstream (2000bp),site:276-576	No	0.00441319
278	CRE18453 upstream (2000bp),site:277-577	No	0.0192137
279	CRE18453 upstream (2000bp),site:278-578	No	0.0349415
280	CRE18453 upstream (2000bp),site:279-579	No	0.219967
281	CRE18453 upstream (2000bp),site:280-580	No	0.0437258
282	CRE18453 upstream (2000bp),site:281-581	No	0.0117766
283	CRE18453 upstream (2000bp),site:282-582	No	0.00428823
284	CRE18453 upstream (2000bp),site:283-583	No	0.0031924
285	CRE18453 upstream (2000bp),site:284-584	No	0.046581
286	CRE18453 upstream (2000bp),site:285-585	No	0.0205633
287	CRE18453 upstream (2000bp),site:286-586	No	0.133187
288	CRE18453 upstream (2000bp),site:287-587	No	0.188919
289	CRE18453 upstream (2000bp),site:288-588	No	0.066373
290	CRE18453 upstream (2000bp),site:289-589	No	0.0672629
291	CRE18453 upstream (2000bp),site:290-590	No	0.173148
292	CRE18453 upstream (2000bp),site:291-591	No	0.1593
293	CRE18453 upstream (2000bp),site:292-592	No	0.145914
294	CRE18453 upstream (2000bp),site:293-593	No	0.265208
295	CRE18453 upstream (2000bp),site:294-594	Yes	0.631432
296	CRE18453 upstream (2000bp),site:295-595	Yes	0.533098
297	CRE18453 upstream (2000bp),site:296-596	No	0.166123
298	CRE18453 upstream (2000bp),site:297-597	No	0.0499574
299	CRE18453 upstream (2000bp),site:298-598	No	0.185813
300	CRE18453 upstream (2000bp),site:299-599	No	0.189478
301	CRE18453 upstream (2000bp),site:300-600	No	0.118045
302	CRE18453 upstream (2000bp),site:301-601	No	0.0176856
303	CRE18453 upstream (2000bp),site:302-602	No	0.0393964
304	CRE18453 upstream (2000bp),site:303-603	No	0.0394139
305	CRE18453 upstream (2000bp),site:304-604	No	0.0969613
306	CRE18453 upstream (2000bp),site:305-605	No	0.383864
307	CRE18453 upstream (2000bp),site:306-606	No	0.135846
308	CRE18453 upstream (2000bp),site:307-607	No	0.0616396
309	CRE18453 upstream (2000bp),site:308-608	No	0.353331
310	CRE18453 upstream (2000bp),site:309-609	No	0.0512447
311	CRE18453 upstream (2000bp),site:310-610	No	0.279891
312	CRE18453 upstream (2000bp),site:311-611	No	0.0234142
313	CRE18453 upstream (2000bp),site:312-612	No	0.176753
314	CRE18453 upstream (2000bp),site:313-613	No	0.102996
315	CRE18453 upstream (2000bp),site:314-614	No	0.0665768
316	CRE18453 upstream (2000bp),site:315-615	No	0.373508
317	CRE18453 upstream (2000bp),site:316-616	Yes	0.769294
318	CRE18453 upstream (2000bp),site:317-617	No	0.272105
319	CRE18453 upstream (2000bp),site:318-618	No	0.0964708
